Objet; Surface; Moyenne_0; Moyenne_1; Moyenne_2 
0;198482 ; 90.7271;82.8033 ; 73.7384
1;2 ; 112.5;106.5 ; 68.5
2;12 ; 180.5;165.083 ; 105.75
3;12 ; 180.5;165.083 ; 105.75
4;5 ; 155.2;103.2 ; 79.2
5;5 ; 155.2;103.2 ; 79.2
6;5 ; 161.4;107.8 ; 88.2
7;3 ; 153;98.6667 ; 79.3333
8;2 ; 112.5;106.5 ; 68.5
9;2 ; 112.5;106.5 ; 68.5
10;5 ; 165.6;150.8 ; 113.6
11;5 ; 165.6;150.8 ; 113.6
12;1 ; 139;128 ; 72
13;1 ; 139;128 ; 72
14;3 ; 84.6667;87 ; 94
15;10 ; 82.8;87.6 ; 94.1
16;5 ; 161.4;107.8 ; 88.2
17;1 ; 163;109 ; 91
18;1 ; 163;109 ; 91
19;5 ; 165.6;150.8 ; 113.6
20;7 ; 151.857;100 ; 80.2857
21;1 ; 163;109 ; 91
22;6 ; 75.6667;76.8333 ; 83.1667
23;1 ; 163;109 ; 91
24;12 ; 180.5;165.083 ; 105.75
25;12 ; 180.5;165.083 ; 105.75
26;5 ; 155.2;103.2 ; 79.2
27;5 ; 155.2;103.2 ; 79.2
28;5 ; 161.4;107.8 ; 88.2
29;5 ; 161.4;107.8 ; 88.2
30;2 ; 112.5;106.5 ; 68.5
31;2 ; 112.5;106.5 ; 68.5
32;5 ; 165.6;150.8 ; 113.6
33;5 ; 165.6;150.8 ; 113.6
34;1 ; 139;128 ; 72
35;1 ; 139;128 ; 72
36;3 ; 84;86 ; 93
37;4 ; 82;84.25 ; 91.25
38;4 ; 82;84.25 ; 91.25
39;2 ; 102.5;106.5 ; 108.5
40;1 ; 163;109 ; 91
